,organisation,records lost,year,story,sector,method,data sensitivity
188,Tumblr,"65,000,000",2016,A three year old data breach came to light. Millions of email addresses and hashed passwords had been stolen.,web,hacked,1
189,Yahoo,"500,000,000",2016,"At the time, the largest ever data breach from a single website. It was stolen, according to Yahoo, by a ""state-sponsored actor"". It included names, dates of birth and security information.",web,hacked,2
190,Mossack Fonseca,"11,500,000",2016,"A hacker took 2.6TB of data from the Panamanian law firm. It included emails, contracts, scanned documents, transcripts and sensitive information relating to many politicians and public figures.",misc,hacked,5
191,Philippines’ Commission on Elections,"55,000,000",2016,"After a message was posted on the COMELEC website by hackers from Anonymous, warning the government of its weak election security, the entire database of voters was stolen and posted online. ",government,hacked,5
192,Syrian government,"274,477",2016,Hacking outfit calling itself 'Cyber Justice Team' leaked 10GB of data from multiple Syrian government and private websites. Much of it was duplicated from previously known hacks.,government,hacked,1
193,Minecraft,"7,000,000",2016,Players using Minecraft's Lifeboat service had their email addresses and passwords leaked. The passwords were very weakly hashed.,gaming,hacked,1
194,Turkish citizenship database,"49,611,709",2016,"An entire database of voter records, originally stolen back in 2008, was leaked online.",government,hacked,2
195,Banner Health,"3,700,000",2016,"Hackers gained access to payment card data that was used to buy food and drink at Banner Health outlets. In 2019, Banner agreed to a $6m settlement over the breach.",health ,hacked,3
196,Mail. ru,"25,000,000",2016,"Two hackers attacked three game-related forums hosted by the Russian company Mail.ru. They stole email addresses, scrambled passwords and birthdates.",web,hacked,2
197,PayAsUGym,"300,000",2016,The fitness website was hacked. Email addresses and passwords were published online.,web,hacked,1
198,Lynda.com,"9,500,000",2016,"Hackers breached a database holding contact information and interest in online courses. Lynda's owners, LinkedIn, said that 55,000 user passwords were also breached.",web,hacked,1
199,Linux Ubuntu forums,"2,000,000",2016,"2 million usernames, email addresses, and IP addresses were compromised via a vulnerability in the forum software.",web,hacked,1
200,Wendy's,"1,025",2016,Malware installed in 1025 point of sale systems was used to steal credit card data from customers. It's not known how many individuals were impacted.,retail,hacked,3
201,Clinton campaign,"5,000,000",2016,The computer network used by Hillary Clinton's campaign team was hacked as part of a broader cyber attack on Democratic political organizations.,government,hacked,2
202,uTorrent ,"35,000",2016,"Access to user data was gained via a third party. Uncertain as to what exactly had been stolen, the firm advised its users to change their passwords.",web,hacked,1
203,World Check,"2,200,000",2016,A database of suspected terrorists and criminals used by global banks and intelligence agencies was leaked online. Access is normally granted via a strict vetting process.,misc,poor security,3
204,Mutuelle Generale de la Police,"112,000",2016,Personal details of French police officers were uploaded to Google Drive by an employee. The leak came two weeks after a gendarme was murdered in an ISIS-inspired attack.,health ,inside job,5
205,VK,"171,000,000",2016,"A database stolen in 2013 from the Russian social network, containing full names, email addresses and passwords, was offered for sale online.",web,hacked,4
206,KM.ru & Nival,"1,500,000",2016,A hacker targeted several Russian websites in revenge for the shooting down of flight MH17 over Ukraine. They included videogame firm Nival and email provider KM.ru.,web,hacked,4
207,Fling,"40,000,000",2016,"Data allegedly stolen in 2011 was put up for sale on the dark web. The stash included email addresses, plain text passwords and information on sexual desires & preferences.",web,hacked,4
208,MySpace,"164,000,000",2016,"In one of the largest password breaches ever, 360 million MySpace logins were stolen and put on sale for $2,800.",web,hacked,1
209,Three,"130,000",2016,Fraudsters compromised the mobile network's handset upgrade system and ordered new handsets to sell online. Customer details were accessed as part of the breach.,telecoms,hacked,2
210,Red Cross Blood Service,"550,000",2016,"Australian donor information was accessed via an unsecured database posted online by a contractor. Information included that of ""at-risk sexual behaviour"".",health ,oops!,4
211,Telegram ,"15,000,000",2016,"An Iranian hacking group called Rocket Kitten stole millions of phone numbers from Telegram, an instant messaging service which prides itself on strong security.",app,hacked,1
212,Dailymotion,"85,200,000",2016,Users of the video sharing site had their email addresses and usernames stolen. One in five also had their passwords compromised.,web,hacked,1
213,Weebly,"43,000,000",2016,"IP addresses, usernames and hashed passwords were stolen from the web design platform.",web,hacked,4
214,Interpark,"10,000,000",2016,South Korean police blamed North Korea for stealing personal customer data from a shopping mall's server in an attempt to obtain foreign currency. ,web,hacked,2
215,Quest Diagnostics,"34,000",2016,"Healthcare data accessed by an unauthorised third party contained names, dates of birth and lab results.",health ,hacked,4
216,Friend Finder Network,"412,000,000",2016,"Almost every password used on Adult Friend Finder, Cams.com and Penthouse.com was breached. Those passwords were encrypted, but easily crackable.",web,hacked,1
217,Brazzers,"790,724",2016,"A vulnerability in the pornsite's forum software compromised millions of accounts, many of which had identical login details for the site itself.",web,hacked,4
218,ClixSense,"6,600,000",2016,"A service which pays people to view adverts and take surveys was hacked. Stolen information included addresses, banking details and social security numbers.",web,hacked,5
219,Carefirst,"1,100,000",2015,"Hackers gained access to a database belonging to the healthcare insurer, stealing names, birth dates, email addresses and insurance ID numbers.",health ,hacked,1
220,Twitch,"10,000,000",2015,All users were forced to reset their passwords after unauthorised access to a number of accounts.,health ,hacked,1
221,Premera,"11,000,000",2015,"The health insurance firm revealed that its IT systems had been breached, exposing financial and medical records.",health ,hacked,5
222,Uber,"50,000",2015,"The breach, which occurred in Sep 2014, revealed the names & license plates of 50,000 drivers across the USA.","tech, app",poor security,1
223,Deep Root Analytics,"198,000,000",2015,"A insecure database containing US voter information was discovered by a researcher. It contained names, addresses, contact details and party affiliations.",web,poor security,2
224,Kromtech,"13,000,000",2015,"A security researcher stumbled on an insecure database belonging to the Mac software provider, containing usernames, email addresses and passwords. ",web,hacked,1
225,Invest Bank,"40,000",2015,"A hacker breached the systems of a UAE bank. They demanded a ransom of $3m in bitcoin to stop tweeting data, relating mainly to corporate accounts.",finance,hacked,4
226,Sanrio,"3,300,000",2015,"A researcher accessed a database containing login information, password hints and birthdates of fans of the Hello Kitty brand, including many children.",web,poor security,2
227,VTech,"6,400,000",2015,"The toy maker was targeted by a hacker who stole the private data of millions of children, including names, email addresses and birth dates.",web,hacked,5
228,Hacking Team,"500,000",2015,"An Italian hacking firm which sells digital surveillance software to national security organisations – including those of repressive regimes – was itself hacked, and the data put on BitTorrent.",web,hacked,5
229,AshleyMadison.com,"37,000,000",2015,The online hookup site for extra-marital affairs was severely breached. Personal details and company financial records were threatened with release.,web,hacked,1
230,US Office of Personnel Management (2nd Breach),"21,500,000",2015,"Hackers with suspected links to China accessed sensitive data on US intelligence and military personnel, leading to concerns about potential blackmail attempts.",government,hacked,5
231,US Office of Personnel Management,"4,000,000",2015,"Hackers gained access to federal employees’ Social Security numbers, job assignments, performance ratings and training information.",government,hacked,2
232,Australian Immigration Department,30,2015,An agency employee inadvertently sent the passport numbers and visa details of all world leaders attending the G20 Brisbane summit to the organisers of the Asian Cup football tournament.,government,oops!,4
233,IRS,"100,000",2015,"An organized crime syndicate used the IRS website to steal taxpayers' personal financial information. 15,000 of them were used to claim refunds in other people's names.",government,hacked,1
234,MSpy,"400,000",2015,"A service that claims to help people spy on mobile devices was hacked, exposing emails, text messages, payment and location data.",app,hacked,2
235,Adult Friend Finder,"3,900,000",2015,"Data found on the dark web included sexual preferences, names, email addresses, usernames, dates of birth and postal codes. It included information of former as well as current users.",web,hacked,1
236,Securus Technologies,"70,000,000",2015,"An anonymous hacker leaked records of over 70m prisoner phone calls, plus links to recordings, potentially violating constitutional protections.",web,hacked,5
237,TalkTalk,"157,000",2015,"Shares in the telecoms firm plunged by a third after the hack, which exposed the banking details of more than 15,000 people.",telecoms,hacked,2
238,Experian / T-mobile,"15,000,000",2015,The world's biggest data monitoring firm disclosed a massive data breach. It had exposed the details of T-Mobile customers applying for credit checks.,telecoms,hacked,3
239,Slack,"500,000",2015,"Sometime in February 2015, hackers were able to peruse Slack’s central database for up to four days. That database included usernames, email addresses and encrypted passwords.",app,hacked,1
240,CarPhone Warehouse,"2,400,000",2015,"The breach exposed names, addresses, birth date and bank details. Around 480,000 were TalkTalk Mobile customers; 1.9m were customers of Carphone Warehouse directly.",telecoms,hacked,3
241,British Airways,"10,000",2015,Hackers accessed tens of thousands of British Airways frequent-flyer accounts. The airline froze the affected accounts while it resolved the issue.,transport,hacked,1
242,Anthem ,"80,000,000",2015,"A ""sophisticated cyberattack"" on one of the USA's largest health insurers uncovered names, dates of birth, social security numbers, addresses and employment information.",health ,hacked,2
243,UCLA Health,"4,500,000",2015,"Patient information was exposed in a hack on the network. In 2019, the firm reached a $2 million class-action lawsuit settlement.",health ,hacked,4
244,Neiman Marcus,"1,100,000",2014,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,2
245,AOL,"2,400,000",2014,User accounts were compromised in order to send out spam messages.,web,hacked,1
246,Community Health Systems,"4,500,000",2014,"The US hospital operator suffered a system breach, leaking 5 years worth of data. Details included names, addresses, social security numbers. The goal: identity theft.",health ,hacked,2
247,Privatization Agency of the Republic of Serbia,"5,190,396",2014,A text file containing personal data and financial documents relating to almost all adult Serbian citizens was made publically available.,government,oops!,2
248,Sony Pictures,"10,000,000",2014,"Potentially every piece of data held by the company was hacked, including unreleased films, employee social security numbers and sensitive internal documents. North Korea suspected.",misc,hacked,2
249,Indiana University,"146,000",2014,Students who attended the university between 2011 and 2014 may have had their data accessed by three automated computer data mining applications.,academic,poor security,2
250,Ebay,"145,000,000",2014,"Hackers attacked between late February and early March, using the login credentials of three corporate employees. They then accessed a database containing all user records.",web,hacked,1
251,UPS,"4,000,000",2014,Malware was discovered in the credit & debit card processing systems of 51 UPS branches in 24 states. It was leaking data for as long as eight months.,retail,hacked,3
252,European Central Bank,"4,000,000",2014,"The ECB received an anonymous call requesting money in return for the stolen data. The bank didn't say how much the blackmailer asked for, but did say that it refused to pay anything.",finance,hacked,1
253,JP Morgan Chase,"76,000,000",2014,"A hack of the USA's largest bank began in June, but was not discovered until July, when the hackers had already obtained the highest level of administrative privilege for dozens of servers.",finance,hacked,3
254,New York Taxis,"52,000",2014,"A freedom of information request resulted in the release of data on all 173 million journeys undertaken by New York taxis in one year. Unfortunately, the data was not properly anonymised.",transport,poor security,1
255,HSBC Turkey,"2,700,000",2014,"An attack on credit and debit card systems left numbers, account numbers, expiry dates and customer names compromised.",finance,hacked,4
256,Japan Airlines,"750,000",2014,"Japan Airlines confirmed the possible theft of information from up to 750,000 frequent-flier programme members, including names, birth dates, addresses and places of work.",transport,hacked,2
257,Staples,"1,160,000",2014,"Point of sale systems were infected with malware. Thieves may have used it to steal customer names, payment card numbers, expiration dates and card verification codes.",retail,hacked,3
258,GMail,"5,000,000",2014,Account details and passwords were posted on a Russian Bitcoin forum. Close inspection revealed the user details to be old (3+ years). Gmail itself was not hacked.,web,hacked,1
259,Home Depot,"56,000,000",2014,"Malware installed on cash register systems at 2,200 stores syphoned credit card details of up to 56 million customers, which were then sold online.",retail,hacked,3
260,Korea Credit Bureau,"20,000,000",2014,An employee was accused of of stealing data from customers of three credit card firms while working as a temporary consultant.,finance,inside job,5
261,Dominios Pizzas (France),"600,000",2014,"Hackers demanded a ransom of €30,000 (£24,000) from Domino's Pizza after stealing personal data on more than 600,000 of its French and Belgian customers.",retail,hacked,1
262,Mozilla,"76,000",2014,"After the failure of a ""data sanitation"" process, Mozilla’s developer community was alerted to an accidental leak of email addresses and encrypted passwords.",web,poor security,2
263,Massive American business hack,"160,000,000",2013,"For more than seven years a hacking ring targeted banks, payment processors and chain stores to steal more than 160 million credit and debit card numbers.",finance,hacked,5
264,"Affinity Health Plan, Inc.","344,579",2013,"A rented photocopier used to copy health records did not have its hard-drive wiped before its return, exposing personal data.",health ,lost device ,4
265,Citigroup,"150,000",2013,The bank failed to redact court records before they were placed on a publicly accessible system. The personal information of customers entering bankruptcy between 2007-2011 was exposed.,finance,oops!,2
266,Tianya,"40,000,000",2013,China's biggest online forum confirmed that private information for 40 million users had been breached back in 2011.,web,hacked,1
267,Scribd,"500,000",2013,"A website billing itself as the ""world's largest online library"" was hacked. 1% of its users had passwords compromised.",web,hacked,1
268,Living Social,"50,000,000",2013,"Hackers gained access to  names, e-mail addresses, dates of birth & encrypted passwords for 50 million users of an online offers site part-owned by Amazon.",web,hacked,1
269,Yahoo,"550,000,000",2013,"A 2013 attack was eventually disclosed in 2016. Stolen data included names, telephone numbers, birth dates, passwords and security questions.",web,hacked,2
270,SnapChat,"4,600,000",2013,"Hackers abused an exploit to siphon off usernames and phone numbers, which were then posted online.","web, tech",hacked,2
271,University of Delaware,"74,000",2013,Confidential personal information on past and current employees of the University of Delaware was stolen when a software vulnerability was exploited.,academic,hacked,2
272,Central Hudson Gas & Electric,"110,000",2013,Customer banking information and other personal information may have been accessed when systems belonging to the energy supplier were hacked.,misc,hacked,3
273,Twitter,"250,000",2013,"A Java vulnerability gave hackers access to some user information including usernames, email addresses, session tokens and encrypted/salted versions of passwords.",web,hacked,1
274,"Crescent Health Inc., Walgreens","100,000",2013,"A stolen laptop exposed private data including names, social security numbers, health insurance information, birth dates, diagnoses and other medical information.",health ,lost device ,4
275,Florida Department of Juvenile Justice,"100,000",2013,"The theft of a mobile device containing youth and employment records exposed 100,000 young people to potential identity theft.",government,lost device ,2
276,Advocate Medical Group,"4,000,000",2013,"Four unencrypted computers were stolen from an office belonging to the healthcare provider. 4,000,000 patient names, addresses, dates of birth and Social Security numbers were exposed.",health ,lost device ,2
277,OVH,"200,000",2013,"A hacker gained access to an email account, from where they were able to compromise the firm's internal systems. The European customer database was exposed.",web,hacked,2
278,Apple,"275,000",2013,"Apple's developer portal was hacked. ""Some"" information about 275,000 3rd-party developers was potentially stolen.","tech, web",hacked,1
279,NASDAQ,"500,000",2013,"Cybercriminals targeted the Nasdaq online forum, stealing email addresses and passwords.",finance,hacked,1
280,UbiSoft,"58,000,000",2013,"The video games publisher revealed that user names, email addresses and encrypted passwords had been ""illegally accessed"".",gaming,hacked,2
281,Ubuntu,"2,000,000",2013,"The discussion forum for the operating system was hacked, exposing personal details and weakly-hashed passwords.","tech, web",hacked,3
282,Nintendo,"4,000,000",2013,"Names, phone numbers, home and email addresses of Japanese members of Club Nintendo were stolen after a website breach.",gaming,hacked,2
283,National Security Agency,"1,500,000",2013,"Edward Snowden, an intelligence contractor in Hawaii, downloaded up to 1.5 million files. He then flew to Hong Kong to meet journalists Glenn Greenwald and Laura Poitras before fleeing to Moscow.",government,inside job,5
284,Facebook,"6,000,000",2013,"By using the network's ""Download Your Information"" tool, some Facebook members were able to access phone numbers and email addresses of strangers. ",web,oops!,1
285,Evernote,"50,000,000",2013,"Evernote asked all its users to reset their passwords, following the discovery of unauthorised access of personal details.",web,hacked,1
286,Kirkwood Community College,"125,000",2013,"Hackers accessed data relating to applications made between February 2006 and March 2013, including names, birth dates, race, contact information and Social Security numbers.",academic,hacked,2
287,Yahoo Japan,"22,000,000",2013,22 million Yahoo user IDs may have been leaked after Yahoo detected an unauthorized attempt to access the administrative system of its Yahoo Japan portal.,"tech, web",hacked,1
288,Drupal,"1,000,000",2013,"Malicious files were placed on the servers of the content management platform. They exposed usernames, e-mail addresses and cryptographically hashed passwords.",web,hacked,1
289,TerraCom & YourTel,"170,000",2013,"Journalists discovered the personal data of over 170,000 customers on a publicly accessible server. Hilariously, the firms branded the journalists ""hackers"".",telecoms,oops!,2
290,Washington State court system,"160,000",2013,Social Security numbers and a million driver's license numbers may have been accessed by hackers exploiting weaknesses in old server software.,government,hacked,2
291,MacRumours.com,"860,000",2013,"A moderator account on the forum was logged into by the hacker, who then was able to escalate privileges. All users were advised to change their passwords.",web,hacked,1
292,Court Ventures,"200,000,000",2013,"A 24 year old Vietnamese national, Hieu Minh Ngo, ran an identity theft service from his bedroom. A deal he struck with Experian gave him access to the personal and financial data of American citizens.",finance,inside job,2
293,Vodafone,"2,000,000",2013,"An IT contractor for the firm used his access to the telecom giant's system to steal customer details, including bank account numbers and sort codes.",telecoms,inside job,3
294,Adobe,"38,000,000",2013,"Hackers obtained access to a swathe of Adobe customer IDs, encrypted passwords & sensitive information including encrypted credit and debit card numbers. Plus source code.",tech,hacked,3
295,"D&B, Altegrity","1,000,000",2013,"Hackers stole millions of social security numbers from a number of large US data brokers, intending to steal identities.",tech,hacked,3
296,ssndob.ms,"4,000,000",2013,"Teenage hackers collected data for exposed.su, a site that charged people to search for  the social security numbers, birthdays, phone numbers and addresses of celebrities.",web,hacked,2
297,Target,"70,000,000",2013,Investigators believe that personal data was obtained via software installed on card-swiping machines at Target stores.,retail,hacked,3
298,China Software Developer Network,"6,000,000",2012,A man surnamed Zeng was arrested on suspicion of leaking personal information belonging to users of the China Software Developer Network (CSDN).,web,hacked,1
299,Global Payments,"1,500,000",2012,"Hackers gained unauthorised access to systems of the payment processing firm, exposing over a million credit card numbers.",finance,hacked,3
300,South Carolina Government,"228,000",2012,A man was arrested for sending confidential information on Medicaid beneficiaries to his personal email address.,health ,inside job,4
301,Three Iranian banks,"3,000,000",2012,"After finding a security flaw in Iran's banking system, Khosrow Zarefarid sent a formal report to the CEOs of all affected banks. When they ignored him, he hacked 3m bank accounts to prove his point.",finance,hacked,5
302,California Department of Child Support Services,"800,000",2012,"California child support records were lost in transit during a ""disaster preparedness"" exercise.",government,lost device ,2
303,Emory Healthcare,"315,000",2012,"The company 'misplaced' 10 backup discs containing sensitive patient information, including social security numbers.",health ,lost device ,4
304,Office of the Texas Attorney General,"6,500,000",2012,The office of Texas Attorney General Greg Abbott mistakenly gave attorneys access to a database containing millions of Social Security numbers.,government,oops!,2
305,Medicaid,"780,000",2012,"Hackers operating out of Eastern Europe circumvented server security at the Utah Health Department, stealing the Social Security numbers of Medicaid claimants.","government, health",hacked,5
306,Blizzard,"14,000,000",2012,"Scrambled passwords, e-mail addresses, and personal security answers were stolen from Blizzard's internal network. Blizzard would not elaborate on the size of the hack (""millions""). ",gaming,hacked,2
307,New York State Electric & Gas,"1,800,000",2012,An employee from a software consulting firm was able to grant unauthorized access to the energy supplier's database.,misc,inside job,2
308,Memorial Healthcare System,"102,153",2012,"For more than a year, an employee of an affiliated physician’s office accessed patient information through a web portal: names, dates of birth and Social Security numbers.",health ,lost device ,2
309,Zappos,"24,000,000",2012,"The Amazon-owned e-commerce firm was the target of a cyber attack on its internal network, exposing names, e-mail addresses, phone numbers,addresses, and encrypted passwords.",web,hacked,2
310,Formspring,"420,000",2012,"420,000 hashed passwords were posted to a security forum. Formspring immediately forced users to reset their passwords.",web,hacked,1
311,KT Corp.,"8,700,000",2012,"Two suspects earned an estimated $877,000 by selling the contact information and plan details of 8.7 million subscribers to Korea's second largest mobile phone network.",telecoms,hacked,2
312,Yahoo Voices,"450,000",2012,"Usernames and passwords thought to be related to Yahoo's Voice service were dumped online, after being accessed in a database hack.","tech, web",hacked,1
313,Last.fm,"43,500,000",2012,"Usernames, email addresses and other internal records, such as newsletter sign-ups and ad-related data, were stolen in a 2012 hack.",web,hacked,1
314,"LinkedIn, eHarmony, Last.fm","8,000,000",2012,"Hacker 'dwdm' uploaded a file containing 6.5 million passwords to a Russian hacker forum. Soon after, another 1.5 million passwords were discovered in another file on the forum.",web,hacked,1
315,Gamigo,"8,000,000",2012,"4 months after the gaming site Gamigo warned users about a hacker intrusion, more than 8 million usernames, emails & encrypted passwords from the site were published on the web.",web,hacked,1
316,Militarysingles.com,"163,792",2012,"Hacking group LulzSec released a database of 163,792 names, usernames, e-mail addresses, IP addresses, and passwords of ""single"" military personnel.","web, military",hacked,1
317,"""Apple""","12,367,232",2012,"Millions of Apple Unique Device Identifiers (UDIDs) were leaked online. A hacking group claimed it had hacked an FBI laptop, but a software firm called BlueToad was found to be the source.","tech, retail",oops!,2
318,Greek government,"9,000,000",2012,A computer programmer was arrested in Greece for allegedly stealing the identity information of 83% of the country's population. The 35-year-old was suspected of trying to sell it on.,government,hacked,2
319,South Carolina State Dept. of Revenue,"3,600,000",2012,A server containing social security numbers and credit card data was breached by an international hacker.,government,hacked,1
320,Dropbox,"68,700,000",2012,"User credentials were stolen in a 2012 hack, but the number affected only came to light four years later. Dropbox reset any passwords that had been unchanged since 2012.",web,hacked,1
321,New York City Health & Hospitals Corp.,"1,700,000",2011,Computer backup tapes from the New York provider were stolen from a truck that was transporting them to a secure storage location. ,health ,lost device ,4
322,"Seacoast Radiology, PA","231,400",2011,"Computer gamers hacked a server in search of more bandwidth to play Call of Duty. In the process they  gained access to personal records of more than 230,000 patients.",health ,hacked,2
323,"South Shore Hospital, Massachusetts","800,000",2011,"South Shore Hospital hired a contractor to destroy files no longer in use. The firm lost the shipment. It contained social security numbers, medical records and banking details.",health ,lost device ,5
324,Betfair,"2,300,000",2011,"Betfair waited 18 months to report the breach of their online gambling site, alarming banking institutions and security experts. The breach involved user names, addresses and account details.",web,hacked,3
325,"Ankle & foot Center of Tampa Bay, Inc.","156,000",2011,"Names, social security numbers, date of birth, home addressees, account numbers, healthcare services and diagnostics were hacked.",health ,hacked,4
326,Yale University,"43,000",2011,"The names and Social Security numbers of 43,000 people affiliated with the university were publicly viewable on Google for 10 months.",academic,oops!,2
327,Morgan Stanley Smith Barney,"34,000",2011,"Morgan Stanley mailed two CDRs containing sensitive data about investors to the New York State Department of Taxation and Finance. When it arrived at the relevant desk, the CDs were missing.",finance,lost device ,3
328,State of Texas,"3,500,000",2011,"3.5 million records were accidentally published online including people's names, mailing addresses and social security numbers. They were there for a year.",government,oops!,2
329,Epsilon,"3,000,000",2011,"Names & email addresses of customers of Barclaycard US, Capital One, JP Morgan, Citigroup & other firms were stolen via a breach in an email system.  ",web,hacked,1
330,Sony PSN,"77,000,000",2011,"Rounding off a thoroughly unhappy year for Sony, their third breach saw a breach of 76,000,000 Sony PSN and Qriocity user accounts. They were offline for 23 days.",gaming,hacked,1
331,US Law Enforcement,"123,461",2011,"""AntiSec"" hackers published a huge trove of personal information from 70 different US law enforcement agencies.",government,hacked,3
332,University of Wisconsin - Milwaukee,"73,000",2011,"A malware attack on a database server exposed the names and social security numbers of students and staff, past and present. ",academic,hacked,2
333,Stratfor,"935,000",2011,"Hacking collective Anonymous published what they claimed was Stratfor's confidential client list, along with credit card details and passwords. In fact, it was a list of subscribers to Stratfor's online publication. ",military,hacked,3
334,Chinese gaming sites,"10,000,000",2011,"Several major Chinese gaming sites were hacked, breaching millions of user records.",web,hacked,1
335,Southern California Medical-Legal Consultants,"300,000",2011,"Electronic files containing names and social security numbers of approximately 300,000 individuals who have applied for workers’ compensation benefits were left unsecured.",health ,hacked,2
336,Writerspace.com,"62,000",2011,"Hacker group LulzSec released a stash of e-mails and passwords, 12,000 of which were confirmed to originate from Writerspace.com.",web,hacked,1
337,Bethesda Game Studios,"200,000",2011,"Hacking collective Lulzsec claimed to have stolen the account information of 200,000 users.",gaming,hacked,1
338,Sega,"1,290,755",2011,"Information registered as part of the Sega Pass system was stolen, including names, birth dates, e-mail addresses and passwords.",gaming,hacked,2
339,Citigroup,"210,000",2011,A breach of the bank's online web portal compromised the information of around 1% of Citbank card holders.,finance,hacked,3
340,Sony Pictures,"1,000,000",2011,The LulzSec hacking collective accessed unencrypted user information. They claimed that they didn't have the resources to steal everything they were able to access.,web,hacked,1
341,Accendo Insurance Co. ,"175,350",2011,"Mismailed letters allowed some lines of sensitive information (medication name, date of birth, and member ID) to be visible through the envelope window.",health ,poor security,2
342,Washington Post,"1,270,000",2011,"Unknown hackers broke into The Washington Post's jobs website, stealing user IDs and email addresses.",misc,hacked,2
343,Health Net - IBM,"1,900,000",2011,As many as nine server drives containing personal information of former and current employees went missing from an IBM data center in California.,health ,lost device ,3
344,Eisenhower Medical Center,"514,330",2011,"A computer stolen from the hospital contained patients' names, ages, dates of birth, medical record numbers and the last four digits of their social security numbers.",health ,lost device ,4
345,Spartanburg Regional Healthcare System,"400,000",2011,"A computer stolen from an employee's car contained a password-protected file with Social Security numbers as well as names, addresses, dates of birth and medical billing codes.",health ,lost device ,4
346,NHS,"8,600,000",2011,A laptop holding the unencrypted records of eight million patients went missing from an NHS store room and wasn't reported until 3 weeks later.,health ,lost device ,4
347,San Francisco Public Utilities Commission ,"180,000",2011,"A server storing customer data was found to be a) unsecured, and b) infected with viruses.",government,hacked,1
348,Sony Online Entertainment,"24,600,000",2011,"Hackers may have taken personal information from accounts in Austria, Germany, The Netherlands and Spain, including over 12,000 credit card accounts and 10,000 bank accounts.",gaming,hacked,3
349,Honda Canada,"283,000",2011,"Names, addresses and vehicle identification numbers were taken from two of the firms' eCommerce websites, myHonda and myAcura",retail,hacked,2
350,Massachusetts Government,"210,000",2011,"Over 1,500 departmental computers were infected with malware which “downloads additional files, steals information and opens a back door on the compromised computer”.",government,hacked,5
351,Oregon Department of Motor Vehicles,"1,000,000",2011,"Detectives arrested Tim Nuss for accessing an old Oregon Department of Motor Vehicles database, including names, addresses, birth dates, gender and ages of people who registered.",government,hacked,2
352,Steam,"35,000,000",2011,"Attackers used login details from a forum hack to gain access to a database containing user names, encrypted passwords and credit card info, game purchases and billing addresses.",web,hacked,3
353,Restaurant Depot,"200,000",2011,Nov 2011. Cybercrooks presumed to be operating from Russia hacked into the Restaurant Depot database and accessed credit and debit card details.,retail,hacked,3
354,Nexon Korea Corp,"13,200,000",2011,Personal data of subscribers to the online game Maple Story was breached and subsequently leaked.,web,hacked,2
355,Nemours Foundation,"1,600,000",2011,"A Florida health care provider responsible for running children’s hospitals lost three data backup tapes, containing 10 years worth of information.",health ,lost device ,4
356,Sutter Medical Foundation,"4,243,434",2011,"A stolen laptop contained a database with names, addresses, dates of birth, phone numbers, email addresses, medical record numbers and health insurance plans.",health ,lost device ,2
357,Tricare,"4,901,432",2011,"Backup tapes containing information for some 4.6 million active and retired military personnel, as well as their families, was stolen from a data contractor's car in San Antonio.","military, health",lost device ,4
358,"AvMed, Inc.","1,220,000",2010,"Two company laptops containing names, addresses, dates of birth, Social Security numbers and health-related information were stolen from an AvMed facility in Gainesville.",health ,lost device ,2
359,Blue Cross Blue Shield of Tennessee,"1,023,209",2010,A thief stole 57 unencrypted hard drives from the closet of a BlueCross call center in Chattanooga.,health ,lost device ,2
360,US Military,"260,000",2010,"The Wikileaks Embassy Cables, containing over 1/4 of a million dispatches from more than 250 worldwide embassies and consulates.",military,inside job,5
361,Gawker.com,"1,500,000",2010,"The notorious website was hacked. The source code was stolen, along with 1.5 million usernames, emails and passwords.",web,hacked,2
362,"Triple-S Salud, Inc.","398,000",2010,"A competitor accessed restricted areas of the healthcare firm's website without authorisation, compromising client information.",health ,lost device ,4
363,Ohio State University,"760,000",2010,"The breach affected current and former students. It cost the university $4m in expenses related to investigative consulting, breach notification and credit security.",academic,hacked,2
364,"Emergency Healthcare Physicians, Ltd.","180,111",2010,"A stolen portable hard drive contained records from 2003 to 2006, including patient names, addressees, phone numbers, birth dates and Social Security numbers.",health ,lost device ,4
365,Colorado government,"105,470",2010,State officials discovered the unauthorized removal of a computer hard drive housed at Colorado's Office of Information Technology which contained health insurance information.,health ,lost device ,2
366,AT&T,"114,000",2010,"Details of iPad 3G users, thought to include those of White House chief of staff Rahm Emanuel, was stolen from the AT&T website.",telecoms,hacked,1
367,Lincoln Medical & Mental Health Center,"130,495",2010,Protected health information was exposed after seven CDs were lost in transit with FedEx.,health ,lost device ,4
368,Educational Credit Management Corp,"3,300,000",2010,A contractor for the US Department of Education stole a device containing student loan records. The breach affected as many as 5% of all the country's federal student loan borrowers.,finance,lost device ,2
369,US Federal Reserve Bank of Cleveland,"400,000",2010,"Nov 2010. A Malaysian man was charged with hacking into major US corporations and stealing 400,000 credit and debit card account numbers.",finance,hacked,3
370,Classified Iraq War documents,"392,000",2010,Wikileaks posted classified Iraq War documents on its website.,government,inside job,2
371,Heartland,"130,000,000",2009,"Keylogging malware caused a massive data breach. Heartland eventually paid more than $110 million to Visa, MasterCard, American Express and other card associations to settle claims.",finance,hacked,3
372,US National Guard,"131,000",2009,"A personal laptop owned by an Army Guard contractor was stolen. It contained a database including names, Social Security Numbers, incentive payment amounts and payment dates.",military,lost device ,2
